"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","Selecione..."
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Atenção!</strong> Quando usar CDN, em alguns casos JavaScript pode não funcionar corretamente se CDN não estiver no subdomínio"
"A category object is required for determining the product request path.","Um objeto categoria é obrigatório para determinar o caminho de requisição do produto."
"Add Block Names to Hints","Exibir Nome dos Blocos"
"Add Secret Key to URLs","Chave de Segurança na URL"
"Add Store Code to Urls","Incluir o código da loja nas URLs"
"Admin","Administrativo"
"Admin Base URL","Base URL da Administração"
"Admin User Emails","Emails Administrativos"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Depois de selecionar um novo local de armazenagem de mídias, clique no botão Sincronizar para transferir todas as mídias. As mídias não estarão disponíveis no novo local até que todo processo de sincronização esteja completo."
"Allow Countries","Países Permitidos"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IPs com Permissão (separados por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivos permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. Nem todos os navegadores suportam todos os formatos!"
"Allows customers to stay logged in when switching between different stores.","Permite que Cliente continue logado ao mudar de Loja."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links de próxima página. Se vazio, a imagem de seta será usado."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links de página anterior. Se vazio, a imagem de seta será usado."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao tentar salvar. Analise o log de erro."
"Anchor Text for Next","Texto para Próxima Página"
"Anchor Text for Previous","Texto para Página Anterior"
"Anchor symbol (#) is not supported in request path","Símbolo ancora (#) não é suportado no caminho da solicitação"
