"%s was added to your shopping cart.","%s foi adicionado com sucesso no seu carrinho de compras."
"%s was updated in your shopping cart.","%s seu carrinho de compras foi atualizado."
"* Required Fields","* Campos Obrigatórios"
"Add New Address","Adicionar Endereço"
"Add New Condition","Criar Termo"
"Add coupon code for shopping cart","Adicionado código do cupom ao seu carrinho"
"Add gift messages to shopping cart","Adicionar mensagens de presente no carrinho de compras"
"Add product to shopping cart","Produto adicionado ao carrinho de compras"
"Add product(s) to shopping cart","Adicionar produto(s) ao carrinho de compras"
"Add to Cart","Comprar"
"Add to Compare","Comparar Produtos"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Product Info","Info Adicional do Produto"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Ao adicionar produto redirecionar p/ carrinho"
"Allow Guest Checkout","Permitir Pedido de Visitante"
"Already registered?","Já possui uma conta?"
"An error occurred in the process of payment","Ocorreu um erro ao processar o pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply Coupon","Usar Cupom"
"Are you sure you would like to remove this item from the shopping cart?","Deseja realmente retirar este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para Informações de Cobrança"
"Back to Select Addresses","Voltar para Selecionar Endereço"
"Back to Shipping Information","Voltar para Informações de Entrega"
"Back to Shopping Cart","Voltar para Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Aproveite Nossas Ofertas:"
"Billing Address","Endereço de Cobrança"
"Billing Information","Informações de Cobrança"
"Billing Information - %s","Informações de Cobrança - %s"
"Cancel Coupon","Cancelar Cupom"
"Cannot add item to the shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot add the item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot apply the coupon code.","O cupom não foi aplicado."
"Cannot configure product.","Não foi possível configurar o produto."
"Cannot open the overview page","Não foi possível abrir a página de visualização"
"Cannot process the item.","Não foi possível processar o item."
"Cannot remove the item.","Não foi possível remover o item."
"Cannot update shopping cart.","Não foi possível atualizar valores."
"Cannot update the item.","Não foi possível atualizar o item."
"Card Verification Number Visual Reference","Referência visual para verificação de número de cartão"
"Cart Product Api","Api Produto no Carrinho"
"Cart Subtotal:","Subtotal:"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de Cobrança"
"Checkbox Text","Texto do Checkbox"
"Checkout","Fechar Pedido"
"Checkout Conditions","Condições do Pedido"
"Checkout Method","Identificação"
"Checkout Options","Opções ao Fechar Pedido"
"Checkout Progress Wrapper","Progresso de Checkout Fechado"
"Checkout Section","Sessão Pagamento do Pedido"
"Checkout Terms and Conditions","Exibir Termos e Condições"
"Checkout as Guest","Finalizar Como Visitante"
"Checkout as a Guest or Register","Criar Sua Conta"
"Checkout with Multiple Addresses","Finalizar Pedido com Vários Endereços"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'"">aqui para imprimir</a> uma cópia da sua confirmação do pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar comprando."
"Close","Fechar"
"Company","Profissão"
"Condition Name","Nome do Termo"
"Configurable Product Image","Imagem do produto configurável"
"Configure Cart Item","Configurar Item do Carrinho"
"Confirm Password","Confirmar Senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar Comprando"
"Continue to Billing Information","Continuar para Informação de Cobrança"
"Continue to Review Your Order","Continuar para Revisar o Pedido"
"Continue to Shipping Information","Continuar para Informações de Envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Cupom ""%s"" não é válido."
"Coupon code ""%s"" was applied.","Cupom ""%s"" foi aplicado."
"Coupon code was canceled.","Cupom foi cancelado."
"Create Billing Address","Criar Endereço de Cobrança"
"Create Shipping Address","Criar Endereço de Entrega"
"Create an order from shopping cart","Criar um pedido para o carrinho de compras"
"Create shopping cart","Criar carrinho de compras"
"Customer Information","Informações do Cliente"
"Customer's information","Informação do Cliente"
"Data saving problem","Problema ao salvar dados"
"Default Billing","Cobrança Padrão"
"Default Shipping","Entrega Padrão"
"Delete Condition","Excluir Condição"
"Details","Detalhes"
"Disabled","Desabilitar"
"Discount Codes","Cupom de Desconto"
"Display Cart Summary","Exibir resumo no carrinho"
"Display Shopping Cart Sidebar","Exibir carrinho na barra lateral"
"Display item quantities","Quantidade de itens"
"Display number of items in cart","Número de itens no carrinho"
"Display number of items in wishlist","Exibir número de itens nos favoritos"
"Easy access to your order history and status","Acompanhe seus pedidos e guarde históricos"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Cobrança"
"Edit Items","Editar Itens"
"Edit Shipping Address","Editar Endereço de Entrega"
"Edit Terms and Conditions","Editar Termos e Condições"
"Edit Your Cart","Editar Carrinho de Compras"
"Edit item","Editar item"
"Edit item parameters","Editar parâmetros do item"
"Email Address","Endereço de Email"
"Enable Onepage Checkout","Exibir Página p/ Fechar Pedido"
"Enable Terms and Conditions","Exibir Termos e Condições"
"Enabled","Ativado"
"Enter a New Address","Informe um novo endereço"
"Enter your coupon code if you have one.","Digite aqui seu Cupom/Vale-Presente."
"Enter your destination to get a shipping estimate.","Informe o CEP de destino para calcular o valor da entrega."
"Estimate Shipping and Tax","Calcular Frete"
"Excl. Tax","Excl. Taxa"
"Fast and easy check out","Fechar pedidos com maior agilidade"
"Fax","Fax"
"Forgot an Item?","Esqueceu alguma coisa?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Calcular"
"Get list of available payment methods","Obter lista dos métodos de pagamentos disponíveis"
"Get list of available shipping methods","Obter lista de métodos de envios disponíveis"
"Get list of products in shopping cart","Obter lista de produtos no carrinho de compras"
"Get terms and conditions","Obter temos e condições"
"Get total prices for shopping cart","Obter preço total do carrinho de compras"
"Gift Message","Mensagem de Presente"
"Grand Total:","Total Final:"
"Grouped Product Image","Imagem do produto agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Taxa"
"Invalid method: %s","Método inválido: %s"
"Item not found or already ordered","Item não encontrado ou já solicitado"
"Items","Itens"
"Items After","Itens Depois"
"Items Before","Itens Antes"
"Load customer quote error","Erro ao carregar informações do cliente"
"Loading next step...","Carregando..."
"Login","Entrar"
"Login/Registration Before","Entrar/Registrar Antes"
