"An error occurred while clearing the external full page cache.","Ocorreu um erro enquanto limpava a página de cache externa completamente."
"Cookie Lifetime (seconds)","Tempo de Vida do Cookie (segundos)"
"Enable External Cache","Habilitar Cache Externo"
"External Cache Control","Controle de Cache Externo"
"External Full Page Cache Settings","Opções de Página de Cache Externas Completas"
"External full page cache.","Cache de página externa completa."
"Failed to load external cache control","Falha ao carregar controle de cache externo"
"Flush External Page Cache","Liberar Página de Cache Externa"
"If empty, default value will be used.","Se vazio, valor padrão será usado."
"The external full page cache has been cleaned.","A página externa de cache completa foi limpa."
"Zend Full Page Cache","Zend Página de Cache Completa"
