"*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","*' - para todos; 'xyz*' - que começam com 'xyz' e no máximo %d caracteres."
"-- Please Select --","Selecione..."
"Add New Class","Criar Classe"
"Add New Tax Rate","Criar Cálculo"
"Add New Tax Rule","Criar Imposto"
"After Discount","Depois do Desconto"
"An error occurred while deleting this rate.","Ocorreu um erro ao tentar excluir este cálculo."
"An error occurred while deleting this rate. Incorrect rate ID.","Ocorreu um erro ao tentar excluir este cálculo. ID do cálculo incorreto."
"An error occurred while deleting this tax class.","Ocorreu um erro ao tentar excluir esta classe de taxas."
"An error occurred while deleting this tax rule.","Ocorreu um erro ao tentar excluir este imposto."
"An error occurred while saving this rate.","Ocorreu um erro ao tentar salvar este cálculo."
"An error occurred while saving this tax class.","Ocorreu um erro ao tentar salvar esta classe de taxas."
"An error occurred while saving this tax class. A class with the same name already exists.","Ocorreu um erro ao tentar salvar esta classe de taxas. Uma classe com o mesmo nome já existe."
"An error occurred while saving this tax rule.","Ocorreu um erro ao tentar salvar o imposto."
"Apply Customer Tax","Aplicar Imposto de Cliente"
"Apply Discount On Prices","Aplicar Desconto nos Preços"
"Apply Tax On","Aplicar Imposto em"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","O imposto aplicado em descontos é calculado com base no imposto da loja, se 'Aplicar imposto depois do desconto' for selecionado."
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"CSV","CSV"
"Calculation Settings","Configurações de Cálculo"
"Catalog Prices","Preços no Catálogo"
"Class Name","Nome"
"Code","Código"
"Country","País"
"County","Bairro"
"Custom price if available","Preço Personalizado se Existir"
"Customer Tax Class","Classe Cliente"
"Customer Tax Class Information","Informações de Classe de Cliente"
"Customer Tax Classes","Classe de Clientes"
"Default Country","País"
"Default Post Code","Cep"
"Default State","Estado"
"Default Tax Destination Calculation","Cálculo de Imposto Padrão para Destinos"
"Delete Class","Excluir"
"Delete Rate","Excluir"
"Delete Rule","Excluir"
"Display Full Tax Summary","Resumo de Todo Imposto"
"Display Prices","Preço do Produto"
"Display Product Prices In Catalog","Preços no Catálogo"
"Display Shipping Amount","Valor de Entrega"
"Display Shipping Prices","Preços na Entrega"
"Display Subtotal","Subtotal do Carrinho"
"Display Zero Tax Subtotal","Imposto em Subtotal Zero"
"Edit Class","Editar Classe"
"Edit Class '%s'","Editar Classe '%s'"
"Edit Rule","Editar Regra de Imposto"
"Edit Tax Rate","Editar Cálculo de Imposto"
"Excel XML","Excel XML"
