" "," "
" But cart has some errors."," Mas carrinho de compras possui alguns erros."
"""Description"" is more than %d characters long","""Descrição"" é maior que %d long caracteres"
"""Title"" is more than %d characters long","""Título"" é maior que %d caracteres"
"%1$s has been added to your wishlist.","%1$s foi adicionado a sua lista de favoritos."
"%1$s incl tax.","%1$s incl tax."
"%s API Key required.","%s Chave de API obrigatório."
"%s Application ID required.","%s ID da Aplicação obrigatório."
"%s Secret Key required.","%s Chave Secreta obrigatório."
"%s has been added to your cart.","%s foi adicionado ao seu carrinho de compras."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)"
10:40:00,10:40:00
10:40:00,10:40:00
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Um aplicativo de Apenas Catálogo não suporta funções como adicionar ao carrinho, lista de favoritos, ou login."
"A new password has been sent.","Uma nova senha foi enviada."
"Account","Conta "
"Account confirmation is required. Please check your email for the confirmation link.","Confirmação de conta é necessária. Verifique seu e-mail para o link de confirmação."
"Account information has been saved.","Informações da conta foram salvas."
"Action","Ação"
"Activate","Ativar"
"Activate PayPal Checkout","Ativar PayPal Checkout"
"Activation Key","Chave de Ativação"
"Add App","Adicionar Aplicativo"
"Add More Templates","Adicionar Mais Templates"
"Add New Template","Adicionar Novo Template"
"Add Page","Adicionar Página"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Address","Endereço Adicional"
"Additional Countries","País Adicional"
"Address","Endereço  "
"Address 2","Endereço 2"
"Address data not specified.","Dados do endereço não informados."
"Address does not belong to this customer.","Endereço não pertence a este cliente."
"Address has been deleted.","Endereço foi apagado."
"Address has been saved.","Endereço foi salvo."
"Administrative contact for this app and for app submission issues.","Contato administrativo para esta aplicação e para envio de perguntas do aplicativo."
"Advanced Settings","Opções Avançadas"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Depois de enviar o aplicativo, entre em contato <a href=""mailto:%1$s"">%1$s</a> para receber a chave da aplicação, Aplicação Secreta e Aplicação Ultra Secreta.<br />Com estas credenciais, preencha os campos correspondentes.<br />Além disso, aceite os termos de serviço do Urban Airship\'s: <a href=""%2$s"" target=""_blank"">clicando aqui</a>."
"AirMail Message Queue","AirMail Fila de Mensagem"
"AirMail Messages Queue","AirMail Fila de Mensagens"
"AirMail Template Preview","AirMail Pré-Visualizar Template"
"AirMail message","AirMail mensagem"
"AirMail templates","AirMail templates"
"All locations","Todos"
"An account with this email address already exists.","Uma conta com este endereço de e-mail já existe."
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar item aos favoritos."
"An error occurred while deleting the address.","Ocorreu um erro ao apagar o endereço."
"An error occurred while loading category filters.","Ocorreu um erro ao carregar os filtros da categoria."
"An error occurred while processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente."
"An error occurred while processing your request.","Ocorreu um erro ao processar sua solicitação."
"An error occurred while removing item from wishlist.","Ocorreu um erro ao removar item dos favoritos."
"An error occurred while removing items from wishlist.","Ocorreu um erro ao remover itens dos favoritos."
"Analytics","Analytics"
"Android","Android"
"App Background","App Background"
"App Background (landscape mode)","App Background (paisagem)"
"App Background (portrait mode)","App Background (retrato)"
"App Background (landscape mode).","App Background (paisagem)."
"App Background (portrait mode).","App Background (retrato)."
"App Background <br />(landscape mode)","App Background <br />(modo paisagem)"
"App Background <br />(portrait mode)","App Background <br />(modo retrato)"
"App Background image missing.","App Background imagem faltando."
"App Code","App Código"
"App Information","App Informação"
"App Name","App Nome"
"App Stores","App Lojas"
"App Submission History","App Histórico de Envios"
"App Title","App Título"
"App code required.","App código obrigatório."
"App does not exist.","App não existe."
"App has been deleted.","App foi apagado."
"App has been saved.","App foi salvo."
"App has been submitted.","App foi enviado."
"App model not loaded.","App modelo não carregado."
"App with specified code does not exist.","App com código informado não existe."
"Appears in the info section of your app (example:  Copyright 2010 – Your Company, Inc.)","Aparece como informação na sessão do seu app (exemplo:  Copyright 2010 – Sua Empresa, Inc.)"
"Application","Aplicativo"
"Application Key","Chave do Aplicativo"
"Application Master Secret","Aplicativo Ultra Secreto"
"Application Name","Nome do Aplicativo"
"Application Secret","Aplicativo Secreto"
"Apply Theme","Aplicar Tema"
"Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512","Aplicar irá alterar o tamanho das imagens de exibição na visualização automaticamente no App Store e dispositivos dos usuários. Um efeito (ex. gradiente) será aplicado, então você não precisa adicionar um gradiente. Imagem precisa estar com tamanho 512x512"
"Are you sure you whant to cancel a message?","Tem certeza de que deseja cancelar a mensagem?"
"Are you sure you whant to delete a message?","Tem certeza de que deseja apagar a mensagem?"
"Are you sure you what to cancel selected records?","Tem certeza de que deseja cancelar os registros selecionados?"
"Are you sure you what to delete selected records?","Tem certeza de que deseja apagar os registros selecionados?"
"Authentication complete.","Autenticação completa."
"Back","Voltar"
"Back to App Edit","Voltar para Editar App"
"Background Color","Cor de Fundo"
"Banner on Home Screen","Banner na Página Inicial"
"Banner on Home Screen image missing.","Banner na Página Inicial faltando."
"Billing address has been set.","Endereço do cobrança foi enviado."
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. tax) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buyer country is not allowed by store.","País do comprador não permitido pela loja."
"Cache Lifetime (seconds)","Tempo de Vida do Cache (segundos)"
"Cache Management","Manutenção de Cache"
"Can\'t add item to shopping cart.","Não foi possível adicionar item ao carrinho de compras."
"Can\'t apply the coupon code.","Não foi possível aplicar o código do cupom."
"Can\'t copy file ""%s"" to ""%s"".","Não foi possível copiar arquivo ""%s"" para ""%s""."
"Can\'t create wishlist.","Não foi possível criar lista de favoritos."
"Can\'t load XML.","Não foi possível carregar XML."
